Address,Type,Area,Price,Bedroom,Toilet,Floor,Furniture,Direction,Legal,Posting date,Expiry date,Ad type,Ad code
"Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh","Nhà biệt thự, liền kề",175 m²,Thỏa thuận,4 phòng,,3 tầng,Nhà thô,Đông - Nam,Sổ đỏ/ Sổ hồng,30/04/2025,15/05/2025,Tin VIP Vàng,42861638
"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh","Nhà biệt thự, liền kề",90 m²,"12,5 tỷ",4 phòng,,4 tầng,Không nội thất.,Tây - Bắc,Sổ đỏ/ Sổ hồng,30/04/2025,15/05/2025,Tin VIP Vàng,42861633
"Estella Heights, Song Hành, An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,98 m²,10 tỷ,2 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,30/04/2025,15/05/2025,Tin VIP Vàng,42861616
"Dự án One Verandah Mapletree, Đường Bát Nàn, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",Căn hộ chung cư,80 m²,"6,8 tỷ",2 phòng,,,Đầy đủ nội thất cơ bản.,,Sổ đỏ/ Sổ hồng,30/04/2025,15/05/2025,Tin VIP Vàng,42181524
"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,"80,8 m²",Thỏa thuận,2 phòng,,,,,,30/04/2025,05/05/2025,Tin thường,42861329
"Đường Trần Văn Dư, Phường 13, Tân Bình, Hồ Chí Minh",Nhà mặt phố,120 m²,40 tỷ,6 phòng,,5 tầng,Cơ bản,Tây,Sổ đỏ/ Sổ hồng,30/04/2025,07/05/2025,Tin thường,42209741
"Dự án The River Thủ Thiêm, Đường Trần Bạch Đằng, Phường An Khánh, Quận 2, Hồ Chí Minh",Căn hộ chung cư,140 m²,19 tỷ,3 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,07/05/2025,14/05/2025,Tin VIP Kim Cương,42540292
"Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"13,6 tỷ",11 phòng,,5 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,30/04/2025,15/05/2025,Tin VIP Vàng,41944751
"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Căn hộ chung cư,"106,39 m²","40,8 tỷ",2 phòng,,,Đầy đủ,Đông - Bắc,Hợp đồng mua bán,30/04/2025,10/05/2025,Tin VIP Vàng,38875363
"Đường Lê Tự Tài, Phường 4, Phú Nhuận, Hồ Chí Minh",Nhà riêng,58 m²,9 tỷ,2 phòng,,2 tầng,Đầy đủ,Đông - Nam,Sổ đỏ/ Sổ hồng,30/04/2025,10/05/2025,Tin VIP Vàng,42022176
"Đường Xuân Thủy, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Nhà mặt phố,205 m²,37 tỷ,4 phòng,,4 tầng,,,,30/04/2025,07/05/2025,Tin thường,42860289
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Đường Bát Nàn, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh","Nhà biệt thự, liền kề",270 m²,55 tỷ,4 phòng,,3 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,30/04/2025,07/05/2025,Tin thường,42838379
"Đường 122, Xã Tân Thạnh Đông, Củ Chi, Hồ Chí Minh",Nhà riêng,105 m²,Thỏa thuận,3 phòng,,2 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,30/04/2025,05/05/2025,Tin thường,42854708
"Dự án Sol Villas, Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh","Nhà biệt thự, liền kề",132 m²,13 tỷ,,,,Nhà thô.,,,08/05/2025,15/05/2025,Tin VIP Vàng,38329534
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà riêng,"83,6 m²","8,8 tỷ",4 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,30/04/2025,07/05/2025,Tin thường,42859639
"Xã Long Thượng, Cần Giuộc, Long An",Nhà riêng,92 m²,"2,2 tỷ",3 phòng,,1 tầng,,Tây,,30/04/2025,07/05/2025,Tin thường,42859608
"The Global City, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,150 m²,Thỏa thuận,4 phòng,,,Cơ bản,Tây - Bắc,Sổ đỏ/ Sổ hồng,30/04/2025,07/05/2025,Tin thường,42859378
"HaDo Centrosa Garden, 3/2, 12, Quận 10, Hồ Chí Minh","Nhà biệt thự, liền kề",88 m²,53 tỷ,5 phòng,,3 tầng,Đầy đủ,Đông - Nam,Sổ đỏ/ Sổ hồng,07/05/2025,22/05/2025,Tin thường,42858790
"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Căn hộ chung cư,188 m²,25 tỷ,4 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,26/04/2025,11/05/2025,Tin VIP Vàng,42691151
"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",Nhà riêng,48 m²,"12,2 tỷ",4 phòng,,4 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42858596
"Đường Giáp Hải, Xã Tân An Hội, Củ Chi, Hồ Chí Minh",Đất bán,185 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42858166
"Đường Cách Mạng Tháng Tám, Phường 7, Tân Bình, Hồ Chí Minh","Nhà biệt thự, liền kề",350 m²,68 tỷ,,,5 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42857015
"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",Căn hộ chung cư,65 m²,"2,68 tỷ",2 phòng,,,,,Pháp lí rõ ràng.,29/04/2025,09/05/2025,Tin thường,39137501
"Dự án Masteri Centre Point, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,72 m²,"4,1 tỷ",2 phòng,,,,,,09/05/2025,19/05/2025,Tin VIP Vàng,42765587
"Dự án The Opus One - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,80 m²,6 tỷ,2 phòng,,,Cơ bản,,Hợp đồng mua bán,29/04/2025,06/05/2025,Tin thường,41458069
"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,59 m²,"3,51 tỷ",2 phòng,,,Cơ bản,,Hợp đồng mua bán,29/04/2025,06/05/2025,Tin thường,41868182
"Phường Tân Phong, Quận 7, Hồ Chí Minh",Căn hộ chung cư,71 m²,"3,65 tỷ",2 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42827832
"Dự án Urban Green, Đường Số 6, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Căn hộ chung cư,100 m²,"6,49 tỷ",2 phòng,,,"Bàn giao nội thất: Full tủ bếp/ full thiết bị vệ sinh/ có máy hút mùi, bếp điện từ, cung cấp máy lạnh mỗi phòng đều là Teka / Grohe/ An.",,Hợp đồng mua bán.,06/05/2025,13/05/2025,Tin VIP Vàng,42840131
"Dự án Đào Sư Tích Residence, Đường Đào Sư Tích, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",Đất nền dự án,80 m²,"5,1 tỷ",,,,,Đông - Nam,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,40188544
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",Nhà riêng,72 m²,"9,89 tỷ",5 phòng,,5 tầng,Đầy đủ,Tây - Bắc,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42855756
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Vista Verde, Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",Căn hộ chung cư,136 m²,"11,5 tỷ",3 phòng,,,Cao cấp,,Sổ đỏ/ Sổ hồng,06/05/2025,13/05/2025,Tin VIP Kim Cương,42610869
"Green View, Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh",Căn hộ chung cư,418 m²,29 tỷ,4 phòng,,,Cao Cấp,,Sổ đỏ/ Sổ hồng,06/05/2025,13/05/2025,Tin VIP Kim Cương,41732505
"Dự án One Verandah Mapletree, Đường Bát Nàn, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",Căn hộ chung cư,143 m²,"15,7 tỷ",3 phòng,,,"Cao cấp tất cả thiết bị trong nhà đều mới và hiện đại, được nhập khẩu từ các thương hiệu uy tín.",,Hợp đồng mua bán,06/05/2025,13/05/2025,Tin VIP Kim Cương,40125140
"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,35 tỷ",2 phòng,,,Cơ bản,Nam,Đang chờ sổ,29/04/2025,09/05/2025,Tin thường,38413675
"Safira Khang Điền, Võ Chí Công, Phú Hữu, Quận 9, Hồ Chí Minh",Căn hộ chung cư,67 m²,"3,6 tỷ",2 phòng,,,Cơ bản,,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42854927
"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",Căn hộ chung cư,81 m²,"3,99 tỷ",2 phòng,,,Cơ bản,,Hợp đồng mua bán,09/05/2025,16/05/2025,Tin VIP Vàng,41687378
"Dự án Happy One Linh Xuân, Đường 9, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",Căn hộ chung cư,68 m²,"45,9 triệu/m²",2 phòng,,,Cơ bản,Đông - Nam,Hợp đồng mua bán,09/05/2025,19/05/2025,Tin thường,42130953
"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ chung cư,78 m²,Thỏa thuận,2 phòng,,,Đầy đủ,Tây - Bắc,,29/04/2025,06/05/2025,Tin thường,42853556
"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",Nhà riêng,219 m²,"36,8 tỷ",,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,29/04/2025,05/05/2025,Tin thường,42853369
"Dự án Diamond Island, Phố Trần Quý Kiên, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Căn hộ chung cư,86 m²,"6,9 tỷ",2 phòng,,,Đầy đủ,Đông - Nam,Sổ hồng - sở hữu lâu dài / Sở hữu 50 năm.,29/04/2025,06/05/2025,Tin thường,42552436
"Dự án The Marq, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",Căn hộ chung cư,145 m²,"34,5 tỷ",4 phòng,,,Cơ bản,,Hợp đồng mua bán,08/05/2025,18/05/2025,Tin thường,42107270
"Dự án Lumiere Boulevard, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,"97,51 m²","6,06 tỷ",3 phòng,,,,,,29/04/2025,06/05/2025,Tin thường,42787086
"Đường 6, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",Đất bán,140 m²,"12,8 tỷ",,,,,Tây - Nam,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42848714
"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh","Nhà biệt thự, liền kề",84 m²,"7,8 tỷ",4 phòng,,3 tầng,Không nội thất,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,41105650
"Dự án The Estella, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,150 m²,12 tỷ,3 phòng,,,Full nội thất.,,Sổ đỏ/sổ hồng.,29/04/2025,06/05/2025,Tin thường,42852630
"Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh",Nhà riêng,"67,5 m²","7,3 tỷ",5 phòng,,4 tầng,Không nội thất,,Sổ đỏ/ Sổ hồng,29/04/2025,06/05/2025,Tin thường,42650029
"Dự án Conic Boulevard, Đường Huỳnh Bá Chánh, Xã Tân Kiên, Bình Chánh, Hồ Chí Minh",Căn hộ chung cư,84 m²,"3,1 tỷ",2 phòng,,,Đầy đủ,Đông,Đang chờ sổ,06/05/2025,09/05/2025,Tin thường,42252077
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh","Nhà biệt thự, liền kề",85 m²,"7,95 tỷ",4 phòng,,3 tầng,Nhà thô hoặc full nội thất.,Nam,Sổ đỏ/ Sổ hồng,28/04/2025,08/05/2025,Tin thường,33685557
"Đường Lý Nhơn, Xã Lý Nhơn, Cần Giờ, Hồ Chí Minh",Nhà riêng,418 m²,"4,6 tỷ",,,,,,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42741819
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,33 tỷ",2 phòng,,,NTCB.,,Sổ đỏ/ Sổ hồng,28/04/2025,08/05/2025,Tin thường,42850483
"Dự án KDC Hồng Long, Đường 14, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Đất nền dự án,100 m²,"6,5 tỷ",,,,,Đông - Bắc,Sổ đỏ/ Sổ hồng,08/05/2025,18/05/2025,Tin thường,42850273
"Đường Mai Bá Hương, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",Đất bán,357 m²,"4,4 tỷ",,,,,Tây,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42849997
"Dự án The Galleria Residence, Đường Đại Lộ Vòng Cung, Phường An Khánh, Quận 2, Hồ Chí Minh",Căn hộ chung cư,106 m²,20 tỷ,3 phòng,,,,,Sổ đỏ/ Sổ hồng,28/04/2025,08/05/2025,Tin thường,42479847
"Dự án Masteri Centre Point, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,74 m²,5 tỷ,2 phòng,,,Đầy đủ,,Hợp đồng mua bán,28/04/2025,05/05/2025,Tin thường,42787637
"Vista Verde, Phan Văn Đáng,  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",Căn hộ chung cư,450 m²,27 tỷ,5 phòng,,,Thô,Tây - Bắc,Sổ đỏ/ Sổ hồng,07/05/2025,17/05/2025,Tin thường,42848946
"Đường  Lý Thường Kiệt, Phường 14, Tân Bình, Hồ Chí Minh","Nhà biệt thự, liền kề",168 m²,23 tỷ,,,,,,,28/04/2025,08/05/2025,Tin thường,42728917
"Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh",Nhà riêng,12 m²,"1,46 tỷ",,,3 tầng,,,,09/05/2025,19/05/2025,Tin VIP Vàng,42660513
"Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh",Nhà riêng,"59,5 m²","7,8 tỷ",,,,,,,28/04/2025,08/05/2025,Tin thường,42848867
"Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",Nhà mặt phố,"43,2 m²",7 tỷ,,,,,,,28/04/2025,08/05/2025,Tin thường,42848696
"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Căn hộ chung cư,104 m²,"5,4 tỷ",3 phòng,,,Đầy đủ,Tây,Sổ đỏ/ Sổ hồng,28/04/2025,08/05/2025,Tin thường,38248917
"Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Nhà riêng,100 m²,10 tỷ,4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ,05/05/2025,15/05/2025,Tin thường,42470346
"Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Nhà mặt phố,310 m²,200 tỷ,,,,,,,28/04/2025,05/05/2025,Tin thường,42847054
"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",Đất bán,90 m²,"5,6 tỷ",,,,,,Sổ đỏ/ Sổ hồng,28/04/2025,08/05/2025,Tin thường,42847023
"Đường Trường Sơn, Phường 2, Tân Bình, Hồ Chí Minh",Nhà mặt phố,250 m²,78 tỷ,,,7 tầng,,,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42847004
"Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, Hồ Chí Minh",Nhà mặt phố,430 m²,310 tỷ,,,,,,,28/04/2025,05/05/2025,Tin thường,42846948
"Đường Số 11, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",Đất bán,76 m²,"4,4 tỷ",,,,,Đông - Bắc,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42846499
"Đường Nguyễn Thái Bình, Phường 4, Tân Bình, Hồ Chí Minh",Nhà riêng,160 m²,55 tỷ,,,9 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42846777
"Dự án Urban Green, Đường Số 6, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Căn hộ chung cư,100 m²,"6,2 tỷ",3 phòng,,,Cơ bản,Đông - Bắc,Hợp đồng mua bán,28/04/2025,05/05/2025,Tin thường,42644105
"Đường Hiệp Bình, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Đất bán,400 m²,50 triệu/m²,,,,,,Sổ đỏ/ Sổ hồng,08/05/2025,18/05/2025,Tin thường,42846514
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",Nhà mặt phố,82 m²,38 tỷ,,,,,,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42846252
"Dự án Thảo Điền Green, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ chung cư,84 m²,"12,5 tỷ",2 phòng,,,,,,28/04/2025,08/05/2025,Tin thường,42845758
"Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Đất bán,60 m²,"4,32 tỷ",,,,,Đông - Nam,Sổ đỏ/ Sổ hồng,28/04/2025,05/05/2025,Tin thường,42659315
